url_path,tag,cover_image,location,property_name,developer_logo,title,description,m2,payment_plan,price,Beds,Baths
https://www.nawy.com/compound/481-la-fayette-village/property/52579-retail-for-sale-in-la-fayette-village-in-new-capital-city-by-home-town-developments,,https://prod-images.cooingestate.com/processed/property_image/image/256847/high.webp,New Capital City,"Retail, La Fayette Village",https://prod-images.cooingestate.com/processed/developer/logo_image/137/medium.webp,Retail for sale in La Fayette Village - with in New Capital City by Home Town Developments.,Retail for sale in La Fayette Village - with in New Capital City by Home Town Developments.,64,"1,195,931 EGP quarterly / 4 Years","20,142,000 EGP",,
https://www.nawy.com/compound/425-fifth-squarethe-mall/property/77389-retail-for-sale-in-fifth-squarethe-mall,Resale,https://prod-images.cooingestate.com/processed/property_image/image/387090/high.webp,New Cairo,"Retail, Fifth SquareThe Mall",https://prod-images.cooingestate.com/processed/developer/logo_image/62/medium.webp,Retail for sale in Fifth SquareThe Mall - with in New Cairo by Al Marasem Development.,Retail for sale in Fifth SquareThe Mall - with in New Cairo by Al Marasem Development.,183,"123,481 EGP monthly / 4 Years","39,606,814 EGP",,
https://www.nawy.com/compound/838-city-hall/property/28240-retail-for-sale-in-city-hall-in-new-cairo-by-serak-developments,,https://prod-images.cooingestate.com/processed/property_image/image/173708/high.webp,North Investors,"Retail, City Hall",https://prod-images.cooingestate.com/processed/developer/logo_image/254/medium.webp,Retail for sale in City Hall - with in North Investors by SERAC Developments.,Retail for sale in City Hall - with in North Investors by SERAC Developments.,131,"2,489,000 EGP quarterly / 5 Years","55,311,111 EGP",,
https://www.nawy.com/compound/1254-valory-mall/property/58497-retail-for-sale-in-valory-mall-in-new-cairo-by-menassat-developments,,https://prod-images.cooingestate.com/processed/property_image/image/327909/high.webp,New Cairo,"Retail, Valory Mall",https://prod-images.cooingestate.com/processed/developer/logo_image/131/medium.webp,Retail for sale in Valory Mall - with in New Cairo by Menassat Developments.,Retail for sale in Valory Mall - with in New Cairo by Menassat Developments.,44,"411,642 EGP quarterly / 7 Years","12,806,640 EGP",,
https://www.nawy.com/compound/1083-city-hall-strip/property/44185-retail-ground-for-sale-in-city-hall-strip-in-new-capital-city-by-serac-developments,,https://prod-images.cooingestate.com/processed/property_image/image/216157/high.webp,New Capital City,"Retail, City Hall Strip",https://prod-images.cooingestate.com/processed/developer/logo_image/254/medium.webp,Retail for sale in City Hall Strip - with in New Capital City by SERAC Developments.,Retail for sale in City Hall Strip - with in New Capital City by SERAC Developments.,54,"315,000 EGP quarterly / 6 Years","8,400,000 EGP",,
https://www.nawy.com/compound/879-gates-prive/property/47678-Retail-for-sale-in-Gates%20Prive-with-10-bedrooms-in-Northern%20Expansion-by-Gates%20Development,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Gates%20Developments/gatesprive/gates%20prive%204/high.webp,Northern Expansion,"Retail, Gates Prive",https://prod-images.cooingestate.com/processed/developer/logo_image/135/medium.webp,Retail for sale in Gates Prive - with in Northern Expansion by Gates Development.,Retail for sale in Gates Prive - with in Northern Expansion by Gates Development.,150,"731,600 EGP quarterly / 6 Years","19,509,336 EGP",,
https://www.nawy.com/compound/364-vinci-street/property/7346-vinci-street-f-b-first-floor,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Misr%20Italia%20Properties/vincistreet/F_B.jpg/high.webp,New Capital City,"Retail, Vinci Street",https://prod-images.cooingestate.com/processed/developer/logo_image/55/medium.webp,Retail for sale in Vinci Street - with in New Capital City by Misr Italia Properties.,Retail for sale in Vinci Street - with in New Capital City by Misr Italia Properties.,70,"273,594 EGP quarterly / 8 Years","10,300,000 EGP",,
https://www.nawy.com/compound/1026-el-fustat/property/111128-Retail-for-sale-in-El%20Fustat-with-10-bedrooms-in-Old%20Cairo-by-Saudi%20Egyptian%20Developers%20(SED),,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Saudi%20Egyptian%20Developer/elfustat/Screenshot%202026-02-18%20175346/high.webp,Old Cairo,"Retail, El Fustat",https://prod-images.cooingestate.com/processed/developer/logo_image/87/medium.webp,Retail for sale in El Fustat - with 5 bedrooms in Old Cairo by Saudi Egyptian Developers (SED).,Retail for sale in El Fustat - with 5 bedrooms in Old Cairo by Saudi Egyptian Developers (SED).,302,"1,491,011 EGP quarterly / 7 Years","46,387,000 EGP",5,6
https://www.nawy.com/compound/1725-villa-mall-new-capital/property/100381-Retail-for-sale-in-Villa%20Mall%20New%20Capital-with-10-bedrooms-in-New%20Capital%20City-by-Better%20Home,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Better%20Home/villamallnewcapital/Screenshot%202025-11-04%20191500/high.webp,New Capital City,"Retail, Villa Mall New Capital",https://prod-images.cooingestate.com/processed/developer/logo_image/122/medium.webp,Retail for sale in Villa Mall New Capital - with in New Capital City by Better Home.,Retail for sale in Villa Mall New Capital - with in New Capital City by Better Home.,120,"586,943 EGP quarterly / 8 Years","20,869,078 EGP",,
https://www.nawy.com/compound/501-pyramids-mall/property/115406-retail-for-sale-in-pyramids-mall-in-new-capital-city-by-pyramids-developments,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/115406/daf18d6c-a7e7-4a27-bec8-6c37423b2995/high.webp,New Capital City,"Retail, Pyramids Mall",https://prod-images.cooingestate.com/processed/developer/logo_image/113/medium.webp,Retail for sale in Pyramids Mall - with in New Capital City by Pyramids Developments.,Retail for sale in Pyramids Mall - with in New Capital City by Pyramids Developments.,28,"342,720 EGP quarterly / 2.5 Years","12,225,380 EGP",,
